parameter_server-1  | [Parameter Server] Starting on port 12345
parameter_server-1  | [Parameter Server] Request #4 processing: 39.109ms total (recv=12.208ms, update=13.825ms, send=7.123ms)
parameter_server-1  | [Parameter Server] Communication: 49.4%, Computation: 35.4%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 3.303ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #2 completed in 56.497ms (total), comm overhead: 5.8%
worker1-1           | [Worker 1] After 2000 images: accuracy=85.80%
worker1-1           | [Worker 1] After 2000 images: avg_loss=0.252360
worker2-1           | [Worker 2] After 2000 images: accuracy=84.10%
worker2-1           | [Worker 2] After 2000 images: avg_loss=0.291613
parameter_server-1  | [Parameter Server] Worker connected (request #5), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.695ms
worker1-1           | [Worker 1] Sent 238200 weights in 2.818ms
parameter_server-1  | [Parameter Server] Updated elastic center in 13.868ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 2.098ms
parameter_server-1  | [Parameter Server] Request #5 processing: 28.792ms total (recv=2.695ms, update=13.868ms, send=2.098ms)
parameter_server-1  | [Parameter Server] Communication: 16.6%, Computation: 48.2%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 4.118ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #3 completed in 45.356ms (total), comm overhead: 9.1%
parameter_server-1  | [Parameter Server] Worker connected (request #6), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 2.124ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 1.814ms
parameter_server-1  | [Parameter Server] Updated elastic center in 16.924ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 3.450ms
parameter_server-1  | [Parameter Server] Request #6 processing: 31.515ms total (recv=1.814ms, update=16.924ms, send=3.450ms)
parameter_server-1  | [Parameter Server] Communication: 16.7%, Computation: 53.7%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 4.493ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #3 completed in 53.654ms (total), comm overhead: 8.4%
worker1-1           | [Worker 1] After 3000 images: accuracy=88.30%
worker1-1           | [Worker 1] After 3000 images: avg_loss=0.192723
worker2-1           | [Worker 2] After 3000 images: accuracy=87.90%
worker2-1           | [Worker 2] After 3000 images: avg_loss=0.246118
parameter_server-1  | [Parameter Server] Worker connected (request #7), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.996ms
worker1-1           | [Worker 1] Sent 238200 weights in 3.193ms
parameter_server-1  | [Parameter Server] Updated elastic center in 12.291ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 2.417ms
parameter_server-1  | [Parameter Server] Request #7 processing: 25.152ms total (recv=2.996ms, update=12.291ms, send=2.417ms)
parameter_server-1  | [Parameter Server] Communication: 21.5%, Computation: 48.9%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 4.079ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #4 completed in 48.338ms (total), comm overhead: 8.4%
parameter_server-1  | [Parameter Server] Worker connected (request #8), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 3.066ms
worker2-1           | [Worker 2] Sent 238200 weights in 3.211ms
parameter_server-1  | [Parameter Server] Updated elastic center in 12.931ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 7.420ms
parameter_server-1  | [Parameter Server] Request #8 processing: 30.325ms total (recv=3.066ms, update=12.931ms, send=7.420ms)
parameter_server-1  | [Parameter Server] Communication: 34.6%, Computation: 42.6%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 8.404ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #4 completed in 55.127ms (total), comm overhead: 15.2%
worker1-1           | [Worker 1] After 4000 images: accuracy=87.70%
worker1-1           | [Worker 1] After 4000 images: avg_loss=0.175239
worker2-1           | [Worker 2] After 4000 images: accuracy=89.70%
worker2-1           | [Worker 2] After 4000 images: avg_loss=0.180364
parameter_server-1  | [Parameter Server] Worker connected (request #9), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 3.368ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 3.335ms
parameter_server-1  | [Parameter Server] Updated elastic center in 11.520ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 1.873ms
parameter_server-1  | [Parameter Server] Request #9 processing: 22.374ms total (recv=3.335ms, update=11.520ms, send=1.873ms)
parameter_server-1  | [Parameter Server] Communication: 23.3%, Computation: 51.5%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 2.921ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #5 completed in 41.488ms (total), comm overhead: 7.0%
parameter_server-1  | [Parameter Server] Worker connected (request #10), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 3.836ms
worker2-1           | [Worker 2] Sent 238200 weights in 3.993ms
parameter_server-1  | [Parameter Server] Updated elastic center in 13.879ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 6.839ms
parameter_server-1  | [Parameter Server] Request #10 processing: 28.046ms total (recv=3.836ms, update=13.879ms, send=6.839ms)
parameter_server-1  | [Parameter Server] Communication: 38.1%, Computation: 49.5%
parameter_server-1  | [Parameter Server] === Processed 10 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 3.803ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #5 completed in 49.865ms (total), comm overhead: 7.6%
worker1-1           | [Worker 1] After 5000 images: accuracy=88.50%
worker1-1           | [Worker 1] After 5000 images: avg_loss=0.168359
worker2-1           | [Worker 2] After 5000 images: accuracy=87.60%
worker2-1           | [Worker 2] After 5000 images: avg_loss=0.186887
parameter_server-1  | [Parameter Server] Worker connected (request #11), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 7.437ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 5.378ms
parameter_server-1  | [Parameter Server] Updated elastic center in 16.459ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 3.402ms
parameter_server-1  | [Parameter Server] Request #11 processing: 40.211ms total (recv=5.378ms, update=16.459ms, send=3.402ms)
parameter_server-1  | [Parameter Server] Communication: 21.8%, Computation: 40.9%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 4.926ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #6 completed in 58.635ms (total), comm overhead: 8.4%
parameter_server-1  | [Parameter Server] Worker connected (request #12), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 3.985ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 4.069ms
parameter_server-1  | [Parameter Server] Updated elastic center in 15.007ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 1.265ms
parameter_server-1  | [Parameter Server] Request #12 processing: 24.540ms total (recv=4.069ms, update=15.007ms, send=1.265ms)
parameter_server-1  | [Parameter Server] Communication: 21.7%, Computation: 61.2%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 2.394ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #6 completed in 42.577ms (total), comm overhead: 5.6%
worker1-1           | [Worker 1] After 6000 images: accuracy=89.30%
worker1-1           | [Worker 1] After 6000 images: avg_loss=0.169509
worker2-1           | [Worker 2] After 6000 images: accuracy=87.20%
worker2-1           | [Worker 2] After 6000 images: avg_loss=0.163950
parameter_server-1  | [Parameter Server] Worker connected (request #13), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 2.162ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.153ms
parameter_server-1  | [Parameter Server] Updated elastic center in 9.960ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 1.033ms
parameter_server-1  | [Parameter Server] Request #13 processing: 18.974ms total (recv=2.153ms, update=9.960ms, send=1.033ms)
parameter_server-1  | [Parameter Server] Communication: 16.8%, Computation: 52.5%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 2.282ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #7 completed in 33.953ms (total), comm overhead: 6.7%
parameter_server-1  | [Parameter Server] Worker connected (request #14), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 1.664ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 3.436ms
parameter_server-1  | [Parameter Server] Updated elastic center in 13.449ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 1.562ms
parameter_server-1  | [Parameter Server] Request #14 processing: 23.409ms total (recv=3.436ms, update=13.449ms, send=1.562ms)
parameter_server-1  | [Parameter Server] Communication: 21.4%, Computation: 57.5%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 2.758ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #7 completed in 42.266ms (total), comm overhead: 6.5%
worker1-1           | [Worker 1] After 7000 images: accuracy=88.20%
worker1-1           | [Worker 1] After 7000 images: avg_loss=0.141253
worker2-1           | [Worker 2] After 7000 images: accuracy=90.20%
worker2-1           | [Worker 2] After 7000 images: avg_loss=0.141908
parameter_server-1  | [Parameter Server] Worker connected (request #15), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 1.073ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 1.880ms
parameter_server-1  | [Parameter Server] Updated elastic center in 15.244ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 1.488ms
parameter_server-1  | [Parameter Server] Request #15 processing: 24.307ms total (recv=1.880ms, update=15.244ms, send=1.488ms)
parameter_server-1  | [Parameter Server] Communication: 13.9%, Computation: 62.7%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 2.549ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #8 completed in 41.902ms (total), comm overhead: 6.1%
parameter_server-1  | [Parameter Server] Worker connected (request #16), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 1.363ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 1.246ms
parameter_server-1  | [Parameter Server] Updated elastic center in 11.250ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 2.787ms
parameter_server-1  | [Parameter Server] Request #16 processing: 20.735ms total (recv=1.246ms, update=11.250ms, send=2.787ms)
parameter_server-1  | [Parameter Server] Communication: 19.4%, Computation: 54.3%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 3.537ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #8 completed in 37.519ms (total), comm overhead: 9.4%
worker1-1           | [Worker 1] After 8000 images: accuracy=89.00%
worker1-1           | [Worker 1] After 8000 images: avg_loss=0.172385
worker2-1           | [Worker 2] After 8000 images: accuracy=89.50%
worker2-1           | [Worker 2] After 8000 images: avg_loss=0.190270
parameter_server-1  | [Parameter Server] Worker connected (request #17), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 1.423ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 4.417ms
parameter_server-1  | [Parameter Server] Updated elastic center in 15.268ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 1.616ms
parameter_server-1  | [Parameter Server] Request #17 processing: 29.883ms total (recv=4.417ms, update=15.268ms, send=1.616ms)
parameter_server-1  | [Parameter Server] Communication: 20.2%, Computation: 51.1%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 3.463ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #9 completed in 50.546ms (total), comm overhead: 6.9%
worker1-1           | [Worker 1] After 9000 images: accuracy=89.60%
worker1-1           | [Worker 1] After 9000 images: avg_loss=0.182823
parameter_server-1  | [Parameter Server] Worker connected (request #18), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 3.514ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 3.384ms
parameter_server-1  | [Parameter Server] Updated elastic center in 13.817ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 4.297ms
parameter_server-1  | [Parameter Server] Request #18 processing: 25.678ms total (recv=3.384ms, update=13.817ms, send=4.297ms)
parameter_server-1  | [Parameter Server] Communication: 29.9%, Computation: 53.8%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 5.185ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #9 completed in 45.241ms (total), comm overhead: 11.5%
worker2-1           | [Worker 2] After 9000 images: accuracy=87.10%
worker2-1           | [Worker 2] After 9000 images: avg_loss=0.149124
parameter_server-1  | [Parameter Server] Worker connected (request #19), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 1.059ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 1.205ms
parameter_server-1  | [Parameter Server] Updated elastic center in 16.762ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 5.280ms
parameter_server-1  | [Parameter Server] Request #19 processing: 30.005ms total (recv=1.205ms, update=16.762ms, send=5.280ms)
parameter_server-1  | [Parameter Server] Communication: 21.6%, Computation: 55.9%
worker1-1           | [Worker 1] Received 238200 center weights in 5.056ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #10 completed in 50.484ms (total), comm overhead: 10.0%
worker1-1           | [Worker 1] After 10000 images: accuracy=90.30%
worker1-1           | [Worker 1] After 10000 images: avg_loss=0.131248
parameter_server-1  | [Parameter Server] Worker connected (request #20), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 1.956ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 3.462ms
parameter_server-1  | [Parameter Server] Updated elastic center in 13.093ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 3.857ms
parameter_server-1  | [Parameter Server] Request #20 processing: 26.867ms total (recv=3.462ms, update=13.093ms, send=3.857ms)
parameter_server-1  | [Parameter Server] Communication: 27.2%, Computation: 48.7%
parameter_server-1  | [Parameter Server] === Processed 20 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 4.797ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #10 completed in 51.789ms (total), comm overhead: 9.3%
worker2-1           | [Worker 2] After 10000 images: accuracy=87.30%
worker2-1           | [Worker 2] After 10000 images: avg_loss=0.159717
parameter_server-1  | [Parameter Server] Worker connected (request #21), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 1.016ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 1.351ms
parameter_server-1  | [Parameter Server] Updated elastic center in 14.564ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 2.806ms
parameter_server-1  | [Parameter Server] Request #21 processing: 23.407ms total (recv=1.351ms, update=14.564ms, send=2.806ms)
parameter_server-1  | [Parameter Server] Communication: 17.8%, Computation: 62.2%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 3.960ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #11 completed in 46.124ms (total), comm overhead: 8.6%
worker1-1           | [Worker 1] After 11000 images: accuracy=89.90%
worker1-1           | [Worker 1] After 11000 images: avg_loss=0.118760
parameter_server-1  | [Parameter Server] Worker connected (request #22), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 2.428ms
worker2-1           | [Worker 2] Sent 238200 weights in 2.438ms
parameter_server-1  | [Parameter Server] Updated elastic center in 16.476ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 1.898ms
parameter_server-1  | [Parameter Server] Request #22 processing: 27.796ms total (recv=2.428ms, update=16.476ms, send=1.898ms)
parameter_server-1  | [Parameter Server] Communication: 15.6%, Computation: 59.3%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 4.721ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #11 completed in 55.541ms (total), comm overhead: 8.5%
worker2-1           | [Worker 2] After 11000 images: accuracy=90.00%
worker2-1           | [Worker 2] After 11000 images: avg_loss=0.124312
parameter_server-1  | [Parameter Server] Worker connected (request #23), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 1.968ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 3.299ms
parameter_server-1  | [Parameter Server] Updated elastic center in 13.937ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 2.158ms
parameter_server-1  | [Parameter Server] Request #23 processing: 28.478ms total (recv=3.299ms, update=13.937ms, send=2.158ms)
parameter_server-1  | [Parameter Server] Communication: 19.2%, Computation: 48.9%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 2.503ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #12 completed in 45.347ms (total), comm overhead: 5.5%
worker1-1           | [Worker 1] After 12000 images: accuracy=89.70%
worker1-1           | [Worker 1] After 12000 images: avg_loss=0.135006
parameter_server-1  | [Parameter Server] Worker connected (request #24), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 1.210ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 1.315ms
parameter_server-1  | [Parameter Server] Updated elastic center in 15.480ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 10.172ms
parameter_server-1  | [Parameter Server] Request #24 processing: 33.390ms total (recv=1.315ms, update=15.480ms, send=10.172ms)
parameter_server-1  | [Parameter Server] Communication: 34.4%, Computation: 46.4%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 4.257ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #12 completed in 55.839ms (total), comm overhead: 7.6%
worker2-1           | [Worker 2] After 12000 images: accuracy=89.30%
worker2-1           | [Worker 2] After 12000 images: avg_loss=0.153047
parameter_server-1  | [Parameter Server] Worker connected (request #25), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.071ms
worker1-1           | [Worker 1] Sent 238200 weights in 1.856ms
parameter_server-1  | [Parameter Server] Updated elastic center in 16.728ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 5.538ms
parameter_server-1  | [Parameter Server] Request #25 processing: 34.665ms total (recv=2.071ms, update=16.728ms, send=5.538ms)
parameter_server-1  | [Parameter Server] Communication: 22.0%, Computation: 48.3%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 9.139ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #13 completed in 55.394ms (total), comm overhead: 16.5%
worker1-1           | [Worker 1] After 13000 images: accuracy=90.70%
worker1-1           | [Worker 1] After 13000 images: avg_loss=0.158910
parameter_server-1  | [Parameter Server] Worker connected (request #26), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 1.435ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 8.223ms
parameter_server-1  | [Parameter Server] Updated elastic center in 15.798ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 1.873ms
parameter_server-1  | [Parameter Server] Request #26 processing: 38.472ms total (recv=8.223ms, update=15.798ms, send=1.873ms)
parameter_server-1  | [Parameter Server] Communication: 26.2%, Computation: 41.1%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 7.424ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #13 completed in 66.164ms (total), comm overhead: 11.2%
worker2-1           | [Worker 2] After 13000 images: accuracy=91.10%
worker2-1           | [Worker 2] After 13000 images: avg_loss=0.157913
parameter_server-1  | [Parameter Server] Worker connected (request #27), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 1.225ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 1.546ms
parameter_server-1  | [Parameter Server] Updated elastic center in 14.720ms
worker1-1           | [Worker 1] Received 238200 center weights in 1.790ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 1.668ms
parameter_server-1  | [Parameter Server] Request #27 processing: 23.007ms total (recv=1.546ms, update=14.720ms, send=1.668ms)
parameter_server-1  | [Parameter Server] Communication: 14.0%, Computation: 64.0%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #14 completed in 45.230ms (total), comm overhead: 4.0%
worker1-1           | [Worker 1] After 14000 images: accuracy=89.30%
worker1-1           | [Worker 1] After 14000 images: avg_loss=0.154513
parameter_server-1  | [Parameter Server] Worker connected (request #28), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 2.652ms
worker2-1           | [Worker 2] Sent 238200 weights in 2.713ms
parameter_server-1  | [Parameter Server] Updated elastic center in 13.394ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 2.191ms
parameter_server-1  | [Parameter Server] Request #28 processing: 23.714ms total (recv=2.652ms, update=13.394ms, send=2.191ms)
parameter_server-1  | [Parameter Server] Communication: 20.4%, Computation: 56.5%
worker2-1           | [Worker 2] Received 238200 center weights in 2.037ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #14 completed in 48.714ms (total), comm overhead: 4.2%
worker2-1           | [Worker 2] After 14000 images: accuracy=90.90%
worker2-1           | [Worker 2] After 14000 images: avg_loss=0.115626
parameter_server-1  | [Parameter Server] Worker connected (request #29), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 1.396ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.940ms
parameter_server-1  | [Parameter Server] Updated elastic center in 14.018ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 1.481ms
parameter_server-1  | [Parameter Server] Request #29 processing: 25.866ms total (recv=2.940ms, update=14.018ms, send=1.481ms)
parameter_server-1  | [Parameter Server] Communication: 17.1%, Computation: 54.2%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 3.263ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
