master-1  | [MASTER] Starting on port 12345
slaver-1  | [Slaver] send: 0.055609, recv: 0.711377 seconds at img 30999
slaver-1  | [Slaver] total sync took 0.769698 seconds at img 30999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.055609, recv: 0.711377 seconds at img 30999
slaver-1  | [Slaver] total sync took 0.769698 seconds at img 30999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.001121, averaging: 0.003954, send: 0.002131 seconds at img 999
master-1  | [Master] total sync took 0.010012 seconds at img 999
master-1  | *** Average loss after 1000 images: 0.414101 ***
slaver-1  | *** Average loss after 31000 images: 0.450016 ***
slaver-1  | *** Average loss after 31000 images: 0.450016 ***
master-1  | *** After 1000 images: 78.60% accuracy ***
slaver-1  | *** After 31000 images: 74.10% accuracy ***
slaver-1  | *** After 31000 images: 74.10% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 31499
slaver-1  | [Slaver] Sent weights to master at img 31499
master-1  | [Master] Received weights from slaver at img 1499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.476533, averaging: 0.002596, send: 0.001075 seconds at img 1499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001243, recv: 0.004423 seconds at img 31499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001243, recv: 0.004423 seconds at img 31499
slaver-1  | [Slaver] total sync took 0.008390 seconds at img 31499
slaver-1  | [Slaver] total sync took 0.008390 seconds at img 31499
master-1  | [Master] total sync took 0.483287 seconds at img 1499
slaver-1  | [Slaver] Sent weights to master at img 31999
slaver-1  | [Slaver] Sent weights to master at img 31999
master-1  | [Master] Received weights from slaver at img 1999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.263708, averaging: 0.001931, send: 0.001109 seconds at img 1999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000786, recv: 0.004193 seconds at img 31999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000786, recv: 0.004193 seconds at img 31999
master-1  | [Master] total sync took 0.269673 seconds at img 1999
slaver-1  | [Slaver] total sync took 0.007394 seconds at img 31999
slaver-1  | [Slaver] total sync took 0.007394 seconds at img 31999
slaver-1  | *** Average loss after 32000 images: 0.318764 ***
slaver-1  | *** Average loss after 32000 images: 0.318764 ***
master-1  | *** Average loss after 2000 images: 0.281424 ***
master-1  | *** After 2000 images: 81.80% accuracy ***
slaver-1  | *** After 32000 images: 85.70% accuracy ***
slaver-1  | *** After 32000 images: 85.70% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 32499
slaver-1  | [Slaver] Sent weights to master at img 32499
master-1  | [Master] Received weights from slaver at img 2499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.000780, averaging: 0.001685, send: 0.002111 seconds at img 2499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000941, recv: 0.114860 seconds at img 32499
slaver-1  | [Slaver] total sync took 0.118200 seconds at img 32499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000941, recv: 0.114860 seconds at img 32499
slaver-1  | [Slaver] total sync took 0.118200 seconds at img 32499
master-1  | [Master] total sync took 0.010340 seconds at img 2499
slaver-1  | [Slaver] Sent weights to master at img 32999
slaver-1  | [Slaver] Sent weights to master at img 32999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001298, recv: 0.007363 seconds at img 32999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001298, recv: 0.007363 seconds at img 32999
slaver-1  | [Slaver] total sync took 0.011155 seconds at img 32999
slaver-1  | [Slaver] total sync took 0.011155 seconds at img 32999
master-1  | [Master] Received weights from slaver at img 2999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.594631, averaging: 0.001673, send: 0.000932 seconds at img 2999
master-1  | [Master] total sync took 0.599694 seconds at img 2999
slaver-1  | *** Average loss after 33000 images: 0.255887 ***
slaver-1  | *** Average loss after 33000 images: 0.255887 ***
master-1  | *** Average loss after 3000 images: 0.209007 ***
slaver-1  | *** After 33000 images: 88.60% accuracy ***
slaver-1  | *** After 33000 images: 88.60% accuracy ***
master-1  | *** After 3000 images: 88.60% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 33499
slaver-1  | [Slaver] Sent weights to master at img 33499
master-1  | [Master] Received weights from slaver at img 3499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.001129, averaging: 0.001754, send: 0.001080 seconds at img 3499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000750, recv: 0.026419 seconds at img 33499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000750, recv: 0.026419 seconds at img 33499
master-1  | [Master] total sync took 0.006358 seconds at img 3499
slaver-1  | [Slaver] total sync took 0.029609 seconds at img 33499
slaver-1  | [Slaver] total sync took 0.029609 seconds at img 33499
slaver-1  | [Slaver] Sent weights to master at img 33999
slaver-1  | [Slaver] Sent weights to master at img 33999
master-1  | [Master] Received weights from slaver at img 3999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000717, recv: 0.178271 seconds at img 33999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.002306, averaging: 0.002080, send: 0.001358 seconds at img 3999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000717, recv: 0.178271 seconds at img 33999
master-1  | [Master] total sync took 0.008343 seconds at img 3999
slaver-1  | [Slaver] total sync took 0.183669 seconds at img 33999
slaver-1  | [Slaver] total sync took 0.183669 seconds at img 33999
master-1  | *** Average loss after 4000 images: 0.182658 ***
slaver-1  | *** Average loss after 34000 images: 0.188657 ***
slaver-1  | *** Average loss after 34000 images: 0.188657 ***
master-1  | *** After 4000 images: 87.50% accuracy ***
slaver-1  | *** After 34000 images: 88.70% accuracy ***
slaver-1  | *** After 34000 images: 88.70% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 34499
slaver-1  | [Slaver] Sent weights to master at img 34499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000852, recv: 0.100423 seconds at img 34499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000852, recv: 0.100423 seconds at img 34499
master-1  | [Master] Received weights from slaver at img 4499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.002047, averaging: 0.002206, send: 0.001106 seconds at img 4499
master-1  | [Master] total sync took 0.008898 seconds at img 4499
slaver-1  | [Slaver] total sync took 0.107990 seconds at img 34499
slaver-1  | [Slaver] total sync took 0.107990 seconds at img 34499
slaver-1  | [Slaver] Sent weights to master at img 34999
slaver-1  | [Slaver] Sent weights to master at img 34999
master-1  | [Master] Received weights from slaver at img 4999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.843458, averaging: 0.002024, send: 0.001325 seconds at img 4999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001028, recv: 0.004505 seconds at img 34999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001028, recv: 0.004505 seconds at img 34999
master-1  | [Master] total sync took 0.849786 seconds at img 4999
slaver-1  | [Slaver] total sync took 0.008009 seconds at img 34999
slaver-1  | [Slaver] total sync took 0.008009 seconds at img 34999
slaver-1  | *** Average loss after 35000 images: 0.195127 ***
slaver-1  | *** Average loss after 35000 images: 0.195127 ***
master-1  | *** Average loss after 5000 images: 0.175983 ***
master-1  | *** After 5000 images: 88.20% accuracy ***
slaver-1  | *** After 35000 images: 88.20% accuracy ***
slaver-1  | *** After 35000 images: 88.20% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 35499
slaver-1  | [Slaver] Sent weights to master at img 35499
master-1  | [Master] Received weights from slaver at img 5499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000789, recv: 0.005728 seconds at img 35499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.090898, averaging: 0.002047, send: 0.002282 seconds at img 5499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000789, recv: 0.005728 seconds at img 35499
master-1  | [Master] total sync took 0.098086 seconds at img 5499
slaver-1  | [Slaver] total sync took 0.010302 seconds at img 35499
slaver-1  | [Slaver] total sync took 0.010302 seconds at img 35499
slaver-1  | [Slaver] Sent weights to master at img 35999
slaver-1  | [Slaver] Sent weights to master at img 35999
master-1  | [Master] Received weights from slaver at img 5999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000814, recv: 0.018269 seconds at img 35999
slaver-1  | [Slaver] total sync took 0.021545 seconds at img 35999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000814, recv: 0.018269 seconds at img 35999
slaver-1  | [Slaver] total sync took 0.021545 seconds at img 35999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.085678, averaging: 0.001649, send: 0.001435 seconds at img 5999
master-1  | [Master] total sync took 0.091637 seconds at img 5999
slaver-1  | *** Average loss after 36000 images: 0.175300 ***
slaver-1  | *** Average loss after 36000 images: 0.175300 ***
master-1  | *** Average loss after 6000 images: 0.173739 ***
master-1  | *** After 6000 images: 88.60% accuracy ***
slaver-1  | *** After 36000 images: 87.50% accuracy ***
slaver-1  | *** After 36000 images: 87.50% accuracy ***
master-1  | [Master] Received weights from slaver at img 6499
slaver-1  | [Slaver] Sent weights to master at img 36499
slaver-1  | [Slaver] Sent weights to master at img 36499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.316651, averaging: 0.004020, send: 0.001948 seconds at img 6499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.004082, recv: 0.006155 seconds at img 36499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.004082, recv: 0.006155 seconds at img 36499
master-1  | [Master] total sync took 0.325871 seconds at img 6499
slaver-1  | [Slaver] total sync took 0.013823 seconds at img 36499
slaver-1  | [Slaver] total sync took 0.013823 seconds at img 36499
slaver-1  | [Slaver] Sent weights to master at img 36999
slaver-1  | [Slaver] Sent weights to master at img 36999
master-1  | [Master] Received weights from slaver at img 6999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.254237, averaging: 0.002648, send: 0.001845 seconds at img 6999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000784, recv: 0.005604 seconds at img 36999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000784, recv: 0.005604 seconds at img 36999
slaver-1  | [Slaver] total sync took 0.008907 seconds at img 36999
slaver-1  | [Slaver] total sync took 0.008907 seconds at img 36999
master-1  | [Master] total sync took 0.262189 seconds at img 6999
slaver-1  | *** Average loss after 37000 images: 0.152802 ***
slaver-1  | *** Average loss after 37000 images: 0.152802 ***
master-1  | *** Average loss after 7000 images: 0.143840 ***
slaver-1  | *** After 37000 images: 90.20% accuracy ***
slaver-1  | *** After 37000 images: 90.20% accuracy ***
master-1  | *** After 7000 images: 89.80% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 37499
master-1  | [Master] Received weights from slaver at img 7499
slaver-1  | [Slaver] Sent weights to master at img 37499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000876, recv: 0.007292 seconds at img 37499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.477865, averaging: 0.003555, send: 0.001313 seconds at img 7499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000876, recv: 0.007292 seconds at img 37499
slaver-1  | [Slaver] total sync took 0.011667 seconds at img 37499
slaver-1  | [Slaver] total sync took 0.011667 seconds at img 37499
master-1  | [Master] total sync took 0.486309 seconds at img 7499
slaver-1  | [Slaver] Sent weights to master at img 37999
slaver-1  | [Slaver] Sent weights to master at img 37999
master-1  | [Master] Received weights from slaver at img 7999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 1.649650, averaging: 0.002334, send: 0.003418 seconds at img 7999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001824, recv: 0.008452 seconds at img 37999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001824, recv: 0.008452 seconds at img 37999
slaver-1  | [Slaver] total sync took 0.013254 seconds at img 37999
slaver-1  | [Slaver] total sync took 0.013254 seconds at img 37999
master-1  | [Master] total sync took 1.658512 seconds at img 7999
slaver-1  | *** Average loss after 38000 images: 0.194738 ***
slaver-1  | *** Average loss after 38000 images: 0.194738 ***
master-1  | *** Average loss after 8000 images: 0.171459 ***
master-1  | *** After 8000 images: 88.10% accuracy ***
slaver-1  | *** After 38000 images: 87.90% accuracy ***
slaver-1  | *** After 38000 images: 87.90% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 38499
slaver-1  | [Slaver] Sent weights to master at img 38499
master-1  | [Master] Received weights from slaver at img 8499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.607534, averaging: 0.003025, send: 0.001659 seconds at img 8499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001305, recv: 0.006496 seconds at img 38499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001305, recv: 0.006496 seconds at img 38499
master-1  | [Master] total sync took 0.615899 seconds at img 8499
slaver-1  | [Slaver] total sync took 0.015764 seconds at img 38499
slaver-1  | [Slaver] total sync took 0.015764 seconds at img 38499
slaver-1  | [Slaver] Sent weights to master at img 38999
slaver-1  | [Slaver] Sent weights to master at img 38999
master-1  | [Master] Received weights from slaver at img 8999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001753, recv: 0.006643 seconds at img 38999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001753, recv: 0.006643 seconds at img 38999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 1.083758, averaging: 0.002586, send: 0.002630 seconds at img 8999
slaver-1  | [Slaver] total sync took 0.012211 seconds at img 38999
slaver-1  | [Slaver] total sync took 0.012211 seconds at img 38999
master-1  | [Master] total sync took 1.091910 seconds at img 8999
master-1  | *** Average loss after 9000 images: 0.182489 ***
slaver-1  | *** Average loss after 39000 images: 0.153841 ***
slaver-1  | *** Average loss after 39000 images: 0.153841 ***
master-1  | *** After 9000 images: 89.40% accuracy ***
slaver-1  | *** After 39000 images: 89.30% accuracy ***
slaver-1  | *** After 39000 images: 89.30% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 39499
slaver-1  | [Slaver] Sent weights to master at img 39499
master-1  | [Master] Received weights from slaver at img 9499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000809, recv: 0.006231 seconds at img 39499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 1.259848, averaging: 0.002894, send: 0.002077 seconds at img 9499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000809, recv: 0.006231 seconds at img 39499
slaver-1  | [Slaver] total sync took 0.010678 seconds at img 39499
slaver-1  | [Slaver] total sync took 0.010678 seconds at img 39499
master-1  | [Master] total sync took 1.269275 seconds at img 9499
slaver-1  | [Slaver] Sent weights to master at img 39999
slaver-1  | [Slaver] Sent weights to master at img 39999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001466, recv: 0.224539 seconds at img 39999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001466, recv: 0.224539 seconds at img 39999
slaver-1  | [Slaver] total sync took 0.229679 seconds at img 39999
master-1  | [Master] Received weights from slaver at img 9999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.000851, averaging: 0.002732, send: 0.002909 seconds at img 9999
slaver-1  | [Slaver] total sync took 0.229679 seconds at img 39999
master-1  | [Master] total sync took 0.011905 seconds at img 9999
master-1  | *** Average loss after 10000 images: 0.130850 ***
slaver-1  | *** Average loss after 40000 images: 0.161430 ***
slaver-1  | *** Average loss after 40000 images: 0.161430 ***
master-1  | *** After 10000 images: 89.10% accuracy ***
slaver-1  | *** After 40000 images: 89.10% accuracy ***
slaver-1  | *** After 40000 images: 89.10% accuracy ***
master-1  | [Master] Received weights from slaver at img 10499
slaver-1  | [Slaver] Sent weights to master at img 40499
slaver-1  | [Slaver] Sent weights to master at img 40499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001368, recv: 0.005350 seconds at img 40499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 1.180728, averaging: 0.002567, send: 0.001695 seconds at img 10499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001368, recv: 0.005350 seconds at img 40499
master-1  | [Master] total sync took 1.188422 seconds at img 10499
slaver-1  | [Slaver] total sync took 0.010358 seconds at img 40499
slaver-1  | [Slaver] total sync took 0.010358 seconds at img 40499
slaver-1  | [Slaver] Sent weights to master at img 40999
slaver-1  | [Slaver] Sent weights to master at img 40999
master-1  | [Master] Received weights from slaver at img 10999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000841, recv: 0.006503 seconds at img 40999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.090068, averaging: 0.002944, send: 0.002417 seconds at img 10999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000841, recv: 0.006503 seconds at img 40999
master-1  | [Master] total sync took 0.099111 seconds at img 10999
slaver-1  | [Slaver] total sync took 0.011421 seconds at img 40999
slaver-1  | [Slaver] total sync took 0.011421 seconds at img 40999
slaver-1  | *** Average loss after 41000 images: 0.129350 ***
slaver-1  | *** Average loss after 41000 images: 0.129350 ***
master-1  | *** Average loss after 11000 images: 0.118501 ***
slaver-1  | *** After 41000 images: 89.50% accuracy ***
slaver-1  | *** After 41000 images: 89.50% accuracy ***
master-1  | *** After 11000 images: 89.70% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 41499
master-1  | [Master] Received weights from slaver at img 11499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 1.757581, averaging: 0.002596, send: 0.001133 seconds at img 11499
master-1  | [Master] total sync took 1.766316 seconds at img 11499
slaver-1  | [Slaver] Sent weights to master at img 41499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000998, recv: 0.013096 seconds at img 41499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000998, recv: 0.013096 seconds at img 41499
slaver-1  | [Slaver] total sync took 0.018101 seconds at img 41499
slaver-1  | [Slaver] total sync took 0.018101 seconds at img 41499
slaver-1  | [Slaver] Sent weights to master at img 41999
slaver-1  | [Slaver] Sent weights to master at img 41999
master-1  | [Master] Received weights from slaver at img 11999
master-1  | [Master] Sent averaged weights to slaver
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000896, recv: 0.006557 seconds at img 41999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000896, recv: 0.006557 seconds at img 41999
master-1  | [Master] recv: 0.389316, averaging: 0.003475, send: 0.001557 seconds at img 11999
slaver-1  | [Slaver] total sync took 0.011385 seconds at img 41999
master-1  | [Master] total sync took 0.397910 seconds at img 11999
slaver-1  | [Slaver] total sync took 0.011385 seconds at img 41999
slaver-1  | *** Average loss after 42000 images: 0.156966 ***
slaver-1  | *** Average loss after 42000 images: 0.156966 ***
master-1  | *** Average loss after 12000 images: 0.129539 ***
master-1  | *** After 12000 images: 90.30% accuracy ***
slaver-1  | *** After 42000 images: 90.40% accuracy ***
slaver-1  | *** After 42000 images: 90.40% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 42499
master-1  | [Master] Received weights from slaver at img 12499
slaver-1  | [Slaver] Sent weights to master at img 42499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.970974, averaging: 0.002800, send: 0.006584 seconds at img 12499
master-1  | [Master] total sync took 0.984224 seconds at img 12499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000578, recv: 0.011013 seconds at img 42499
slaver-1  | [Slaver] total sync took 0.014892 seconds at img 42499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000578, recv: 0.011013 seconds at img 42499
slaver-1  | [Slaver] total sync took 0.014892 seconds at img 42499
slaver-1  | [Slaver] Sent weights to master at img 42999
slaver-1  | [Slaver] Sent weights to master at img 42999
master-1  | [Master] Received weights from slaver at img 12999
master-1  | [Master] Sent averaged weights to slaver
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000810, recv: 0.005822 seconds at img 42999
slaver-1  | [Slaver] send: 0.000810, recv: 0.005822 seconds at img 42999
master-1  | [Master] recv: 1.007554, averaging: 0.002718, send: 0.002069 seconds at img 12999
master-1  | [Master] total sync took 1.015947 seconds at img 12999
slaver-1  | [Slaver] total sync took 0.011212 seconds at img 42999
slaver-1  | *** Average loss after 43000 images: 0.161289 ***
slaver-1  | [Slaver] total sync took 0.011212 seconds at img 42999
slaver-1  | *** Average loss after 43000 images: 0.161289 ***
master-1  | *** Average loss after 13000 images: 0.152010 ***
slaver-1  | *** After 43000 images: 91.40% accuracy ***
slaver-1  | *** After 43000 images: 91.40% accuracy ***
master-1  | *** After 13000 images: 91.30% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 43499
slaver-1  | [Slaver] Sent weights to master at img 43499
master-1  | [Master] Received weights from slaver at img 13499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000882, recv: 0.007638 seconds at img 43499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000882, recv: 0.007638 seconds at img 43499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.418862, averaging: 0.003587, send: 0.002545 seconds at img 13499
master-1  | [Master] total sync took 0.428978 seconds at img 13499
slaver-1  | [Slaver] total sync took 0.014399 seconds at img 43499
slaver-1  | [Slaver] total sync took 0.014399 seconds at img 43499
slaver-1  | [Slaver] Sent weights to master at img 43999
slaver-1  | [Slaver] Sent weights to master at img 43999
master-1  | [Master] Received weights from slaver at img 13999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.255284, averaging: 0.003065, send: 0.001189 seconds at img 13999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001610, recv: 0.006144 seconds at img 43999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001610, recv: 0.006144 seconds at img 43999
master-1  | [Master] total sync took 0.263272 seconds at img 13999
slaver-1  | [Slaver] total sync took 0.011796 seconds at img 43999
slaver-1  | [Slaver] total sync took 0.011796 seconds at img 43999
slaver-1  | *** Average loss after 44000 images: 0.117343 ***
slaver-1  | *** Average loss after 44000 images: 0.117343 ***
master-1  | *** Average loss after 14000 images: 0.153305 ***
master-1  | *** After 14000 images: 90.40% accuracy ***
slaver-1  | *** After 44000 images: 90.40% accuracy ***
slaver-1  | *** After 44000 images: 90.40% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 44499
slaver-1  | [Slaver] Sent weights to master at img 44499
master-1  | [Master] Received weights from slaver at img 14499
master-1  | [Master] Sent averaged weights to slaver
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000941, recv: 0.006671 seconds at img 44499
master-1  | [Master] recv: 0.185907, averaging: 0.002071, send: 0.001162 seconds at img 14499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.000941, recv: 0.006671 seconds at img 44499
slaver-1  | [Slaver] total sync took 0.011850 seconds at img 44499
slaver-1  | [Slaver] total sync took 0.011850 seconds at img 44499
master-1  | [Master] total sync took 0.194228 seconds at img 14499
slaver-1  | [Slaver] Sent weights to master at img 44999
slaver-1  | [Slaver] Sent weights to master at img 44999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.002121, recv: 0.204671 seconds at img 44999
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.002121, recv: 0.204671 seconds at img 44999
master-1  | [Master] Received weights from slaver at img 14999
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.000491, averaging: 0.002587, send: 0.001715 seconds at img 14999
slaver-1  | [Slaver] total sync took 0.211219 seconds at img 44999
slaver-1  | [Slaver] total sync took 0.211219 seconds at img 44999
master-1  | [Master] total sync took 0.008928 seconds at img 14999
master-1  | *** Average loss after 15000 images: 0.160760 ***
slaver-1  | *** Average loss after 45000 images: 0.129481 ***
slaver-1  | *** Average loss after 45000 images: 0.129481 ***
master-1  | *** After 15000 images: 91.50% accuracy ***
slaver-1  | *** After 45000 images: 91.50% accuracy ***
slaver-1  | *** After 45000 images: 91.50% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 45499
slaver-1  | [Slaver] Sent weights to master at img 45499
master-1  | [Master] Received weights from slaver at img 15499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.557722, averaging: 0.002417, send: 0.001560 seconds at img 15499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.001076, recv: 0.004817 seconds at img 45499
slaver-1  | [Slaver] Received updated weights from master
